atom_idx x y z attribution binding
14 -2.1539 0.2198 1.0162 0.2933221072826403 0.0
16 -3.4659 1.8069 -0.2622 0.19459339214018545 0.901782579289173
15 -2.5644 1.5957 0.7559 0.18427504355986604 0.0
21 -2.5097 -0.8572 0.0923 0.012784595222747719 0.0
17 -4.6081 0.5356 -0.1624 0.0008230696583314545 0.0
9 4.4295 0.3064 1.2893 0.0 0.011498849564636109
12 1.9797 0.1468 0.1224 0.0 0.0
10 3.3198 0.6708 1.9677 0.0 0.0
0 -0.7005 -2.1143 -0.9159 0.0 0.44935028198250915
8 5.5417 -0.5357 -0.7089 0.0 0.2439848485398412
7 4.385 -0.147 0.0229 0.0 0.0
6 3.1201 -0.2221 -0.5595 0.0 0.0
5 2.7209 -0.6167 -1.7684 0.0 0.10061178762668468
4 1.3612 -0.4977 -1.8423 0.0 0.0
3 0.9041 -0.024 -0.6684 0.0 0.0
11 2.1041 0.5864 1.3745 0.0 0.0455006205885745
20 -3.7288 -0.8366 -0.4995 -0.003166573227239733 0.6509784010502344
18 -5.0852 0.4681 1.267 -0.0042975766593840725 0.2950084137056181
19 -5.7394 0.7594 -1.132 -0.0042975766593840725 1.1636241341752498
1 -1.3548 -0.9087 -0.9065 -0.005297576659384073 0.0
2 -0.4941 0.226 -0.3915 -0.005297576659384073 0.0
13 -0.7357 0.1918 0.9717 -0.022015277807424294 0.19345424662932492
