atom_idx x y z attribution binding
29 -9.386 0.7415 0.6146 0.26799999999999996 2.2433056657820063
2 -8.6733 -0.2225 0.022 0.051999999999999935 0.0
1 -9.5296 -1.2594 -0.141 0.020000000000000018 2.6918270585721005
3 -7.2742 -0.2085 -0.3815 0.01287499999999997 0.026745248777009626
27 -5.1475 0.9195 -0.5536 0.01100000000000001 0.0
7 -3.261 -0.2573 -1.5753 0.008000000000000007 0.0
15 3.1285 -1.6377 1.0333 0.0 0.0
16 4.4138 -1.2516 0.8205 0.0 0.0
24 9.232 0.7109 0.3084 0.0 1.413733304786668e-05
23 10.4879 0.6238 -0.1502 0.0 0.0
22 10.5592 -0.5785 -0.8263 0.0 0.0
21 9.3427 -1.1535 -0.7401 0.0 1.3520891197966087e-05
20 8.508 -0.3665 -0.0394 0.0 0.0
19 7.1119 -0.6607 0.2581 0.0 0.01699276675445765
18 6.512 -1.8216 -0.1757 0.0 0.0
17 5.2096 -2.1411 0.0771 0.0 0.0
13 1.5848 0.2455 1.1333 0.0 0.0010792881220176897
14 2.0712 -1.052 1.6804 0.0 0.0
26 4.982 -0.08 1.2711 0.0 0.0
12 1.1424 0.0037 -0.3054 0.0 0.0007288514554582933
11 0.6333 1.2766 -0.9342 0.0 0.0007875823322859663
10 -0.5353 1.8517 -0.2115 0.0 0.0004895948735135529
9 -1.7216 0.9143 -0.1522 0.0 0.0004970530255354726
8 -2.1738 0.5861 -1.5331 0.0 0.0
25 6.3208 0.1979 0.9834 0.0 0.0
6 -4.5433 -0.1573 -1.1586 -0.0010000000000000009 0.0
30 -10.6522 0.3228 0.8179 -0.0040000000000000036 0.0
28 -6.4901 0.8971 -0.17 -0.018000000000000016 0.0
5 -5.3555 -1.2874 -1.3721 -0.04049999999999998 0.0
0 -10.7328 -0.9484 0.3347 -0.07100000000000006 0.0
4 -6.671 -1.2865 -0.9876 -0.07950000000000002 0.0
