atom_idx x y z attribution binding
0 6.0501 -1.5571 -1.4966 0.4467317779716275 2.7077946446246375
23 5.1052 0.6013 -0.7987 0.04264642199299451 0.0
21 4.1776 1.2987 0.024 0.02987751333094657 0.0
5 3.3309 0.6017 0.904 0.022008554716445583 0.0
1 5.1586 -0.8118 -0.7132 0.01450137856325695 0.0
22 4.1209 2.5525 -0.0431 0.007992019815217688 0.3293546325914409
13 -3.4765 -0.0195 -1.6155 0.0 0.0
14 -4.8857 0.4734 -1.3593 0.0 0.0
20 -0.0063 0.6431 1.1489 0.0 0.0
19 -3.0039 -1.1253 1.5288 0.0 0.08967738247140315
18 -2.3457 -0.8316 0.3195 0.0 0.0
17 -4.2764 -2.0025 -0.5039 0.0 0.040824742317446316
16 -3.1527 -1.2626 -0.8613 0.0 0.0
15 -5.1384 0.6854 -0.0253 0.0 0.24772502339523125
12 -2.5783 0.9097 -1.1641 0.0 0.2698495538018338
11 -2.3085 0.6591 0.1728 0.0 0.0
10 -0.9755 1.1815 0.4234 0.0 0.0
9 -0.5508 2.3278 -0.0765 0.0 0.5264308685582018
8 0.6915 2.531 0.325 0.0 0.4099044628892129
7 1.0729 1.498 1.0964 0.0 0.0
6 2.3764 1.3183 1.7501 0.0 0.0
2 4.3725 -1.4699 0.1051 -0.0013252194748178958 0.0
4 3.3931 -0.8167 0.9822 -0.05465411167385936 0.0
3 4.4771 -2.8677 0.1401 -0.10853647753116413 1.6137355860667666
