atom_idx x y z attribution binding
14 -0.6769 0.2245 2.2811 0.04252554037242931 2.2423965547937965
17 -3.7068 1.5139 -0.158 0.041193519787264904 0.0
18 -4.0629 1.2254 1.3194 0.0364890229990619 1.51820650379139
12 1.715 0.7762 -1.7284 0.025090306997663125 0.14211264702748794
9 5.5991 1.4959 0.4656 0.025090306997663125 0.03854332821335083
5 1.918 0.0269 0.3673 0.004999999999999977 0.027219234353061863
16 -2.1094 1.0072 -0.5546 0.004267239433209752 0.7216734271639813
0 -3.2745 -1.9752 -1.2657 0.0 0.6204121576252913
1 -2.009 -1.6168 -1.7315 0.0 0.0
11 2.4221 0.6572 -0.6995 0.0 0.0
10 3.6675 1.1511 -0.6585 0.0 0.11052191479906202
8 4.4451 1.0333 0.4402 0.0 0.0
7 3.9477 0.3924 1.5408 0.0 0.0
6 2.6668 -0.1074 1.4778 0.0 0.0
3 0.1101 -0.8339 -0.877 -0.0009156139201023372 0.4737413320222361
13 -0.4346 0.4039 0.9577 -0.0029368888888889333 0.0
4 0.5969 -0.5247 0.3936 -0.012936888888888914 0.0
15 -1.6959 -0.046 0.2065 -0.017069649455679126 0.0
2 -1.1848 -1.2176 -0.5585 -0.01793688888888892 0.0
19 -4.7188 0.7585 -1.0557 -0.049850777020871345 0.49236142092621016
20 -3.8536 3.0327 -0.421 -0.049850777020871345 0.38485698635014465
