atom_idx x y z attribution binding
15 3.5536 0.5342 0.7397 0.06900000000000006 2.7056939927606485
0 1.6168 -1.8572 0.2418 0.05442857142857149 2.091212026157927
16 5.1136 0.7269 0.0221 0.031000000000000028 0.0
17 5.4475 -0.523 -0.8245 0.025000000000000022 2.3371865868445356
19 5.1157 1.9813 -0.8813 0.025000000000000022 1.5380905335865531
13 1.2363 0.469 0.342 0.02400000000000002 0.0
18 6.1744 0.8955 1.1354 0.014000000000000012 2.645821590850899
4 -2.0398 -0.0906 -0.5189 0.009000000000000008 0.26954693679165076
12 0.2026 0.5478 -0.5495 0.0040000000000000036 0.7179430351036246
8 -5.827 0.8977 -1.0773 0.0030000000000000027 0.031874366454897815
1 1.1227 -0.861 1.069 0.0030000000000000027 0.0
11 -1.747 1.7791 0.7508 0.0030000000000000027 0.23205561926420168
5 -2.8386 -0.8668 -1.2572 0.0 0.0
6 -4.1505 -0.5573 -1.4713 0.0 0.0
7 -4.6118 0.6131 -0.8776 0.0 0.0
9 -3.7882 1.3627 -0.1483 0.0 0.23357959221119554
2 -0.4051 -1.0089 1.067 0.0 0.0
10 -2.505 1.0306 0.0427 0.0 0.0
14 2.5962 0.6379 -0.2898 -0.0010000000000000009 0.0
3 -0.6799 -0.4726 -0.3354 -0.009000000000000008 0.0
