atom_idx x y z attribution binding
2 -2.1229 -0.5511 0.7735 0.22033333333333316 0.0
1 -2.7907 0.4041 1.4256 0.18299999999999994 2.7111968573045213
0 -2.9602 1.635 0.8976 0.05149999999999999 0.0
14 -1.7213 0.8981 -1.0402 0.03399999999999992 0.0
3 -2.0354 -1.8252 1.4181 0.02399999999999991 0.7764860771155979
15 -2.4137 1.8566 -0.3368 0.007777777777777772 0.0
6 0.6152 -1.105 -1.5398 -0.0020000000000000018 0.4301947858014813
9 3.0468 -0.3243 1.2563 -0.007000000000000006 0.0
4 -1.552 -0.3488 -0.5021 -0.008000000000000007 0.3885948884139512
5 -0.7695 -1.4281 -1.0607 -0.009000000000000008 0.45819533448925837
12 2.6438 3.4069 -0.0969 -0.01100000000000001 0.0
8 2.2143 -1.0411 0.4226 -0.02100000000000002 0.0
10 3.1834 1.0327 1.1107 -0.02400000000000002 0.0
7 1.4971 -0.4268 -0.5787 -0.025000000000000022 0.30610985134204766
11 2.4788 1.6671 0.1198 -0.03200000000000003 0.10243106247225031
13 1.6482 0.9499 -0.7111 -0.03200000000000003 0.0
