atom_idx x y z attribution binding
0 -6.6192 0.0309 0.7453 0.2135833333333334 2.9199164039570937
1 -5.234 0.0013 0.4798 0.08416666666666672 0.0
18 -2.39 2.2842 0.2447 0.020000000000000018 0.7180231260797842
20 -5.2581 2.8156 0.8566 0.019000000000000017 0.0
3 -5.7001 -2.7711 0.2011 0.019000000000000017 0.0
17 -3.0868 1.0982 0.2194 0.009000000000000008 0.0
4 -3.269 -1.2498 -0.0567 0.008000000000000007 0.0
19 -4.4653 1.1148 0.4819 0.006000000000000005 0.0
2 -4.6113 -1.1967 0.2038 0.006000000000000005 0.0
5 -2.4846 -0.0961 -0.0523 0.0040000000000000036 0.0
15 5.6799 -0.6992 0.7463 0.0 0.0
6 -1.062 -0.2352 -0.3393 0.0 0.0
13 5.3654 -0.0551 -1.467 0.0 0.0010769508836675692
14 6.2 -0.4654 -0.5061 0.0 0.0
16 4.3503 -0.5264 1.0347 -0.0030000000000000027 0.0
12 4.0374 0.1241 -1.2041 -0.0030000000000000027 0.0
7 -0.2226 0.7027 -0.3738 -0.0040000000000000036 0.0
11 3.4736 -0.0952 0.0251 -0.028999999999999915 0.0
8 1.1483 0.5208 -0.6568 -0.03699999999999992 0.9989375983871871
9 2.0598 0.0896 0.3273 -0.08499999999999996 0.0
10 1.6343 -0.1447 1.5143 -0.10927191585584806 0.034743153814822035
