atom_idx x y z attribution binding
21 -3.8473 -0.2565 1.9861 0.28600000000000003 2.1041243734624224
20 -3.65 0.4344 0.7898 0.15300000000000002 0.0
18 -2.6612 1.5606 1.1279 0.05800000000000005 0.0
8 2.857 0.6575 -1.782 0.04800000000000004 0.0
14 2.5379 -1.2519 1.0986 0.04500000000000004 0.0
2 -2.8912 -0.4 -0.2153 0.04300000000000004 0.0
16 -1.4813 0.9083 1.7665 0.041000000000000036 0.0
15 2.3212 -0.4426 0.015 0.03823809523809518 0.0
3 -1.8712 -1.063 0.4153 0.03700000000000003 0.043539629553727935
19 -2.2474 2.0746 -0.1073 0.03500000000000003 1.317248042730045
17 -1.8826 0.4821 3.0325 0.03400000000000003 1.0160582221418717
5 -0.103 0.2077 0.0227 0.028000000000000025 0.18541044749742647
4 -0.9144 -0.2472 0.9959 0.016000000000000014 0.0
10 3.3687 -0.1386 -0.8326 0.015138095238095284 0.0
1 -3.8047 -1.3255 -0.9467 0.011144444444444401 0.0
13 3.7867 -1.7566 1.3395 0.007000000000000006 0.0
6 1.1473 0.1853 -0.4331 0.0050000000000000044 0.0
9 3.6774 1.1916 -2.873 0.0030000000000000027 0.0
7 1.5765 0.8792 -1.6021 0.0010000000000000009 0.0
0 -4.8129 -0.564 -1.5583 -0.0040000000000000036 1.3380321760040195
12 4.8494 -1.4504 0.4827 -0.02104385964912281 0.0
11 4.6255 -0.6344 -0.6076 -0.02104385964912281 0.0
