atom_idx x y z attribution binding
4 1.432 1.0652 -1.7933 0.11699999999999999 2.5480911803049726
5 0.1377 1.1017 -1.9362 0.06799999999999995 0.0
3 1.7293 0.4046 -0.6646 0.061999999999999944 0.0
14 4.1645 0.6282 -0.8871 0.04499999999999993 0.0
6 -0.4477 0.4851 -0.9367 0.038000000000000034 0.0
7 -1.9068 0.3496 -0.8009 0.030000000000000027 0.016156307376070964
11 -3.8732 0.9646 0.3994 0.02100000000000002 0.004225229010999292
2 3.0768 0.1668 -0.1802 0.018000000000000016 0.06692289138146709
9 -3.6114 -1.3469 -0.2292 0.014000000000000012 0.0
12 -2.4247 0.8605 0.5268 0.014000000000000012 0.0
15 5.4644 0.42 -0.4555 0.0020000000000000018 0.0
16 5.6699 -0.2721 0.7204 -0.006000000000000005 0.22271196048805297
8 -2.2353 -1.1451 -0.8365 -0.009000000000000008 0.0
0 4.5897 -0.7457 1.4484 -0.01100000000000001 0.0
1 3.3057 -0.5265 0.9992 -0.015000000000000013 0.0
17 7.3242 -0.5451 1.2833 -0.016000000000000014 0.0
10 -4.4035 -0.0757 -0.4414 -0.026000000000000023 0.0
13 0.5435 0.0492 -0.142 -0.04500000000000004 1.2760048862216136
