atom_idx x y z attribution binding
26 0.4387 1.9026 -0.6795 0.09099999999999997 2.142238485224071
15 2.3765 -0.6756 -1.5041 0.05799999999999994 0.0
25 0.3435 0.7159 -1.4725 0.03799999999999992 0.0
1 -1.0775 0.1908 -1.4842 0.013000000000000012 0.0
14 1.0933 -0.3626 -0.8007 0.01100000000000001 0.0
20 5.863 0.5996 -0.8359 0.007000000000000006 0.0
13 0.3069 -1.4333 -0.566 0.007000000000000006 0.0
0 -1.5582 -0.0185 -2.7403 0.0050000000000000044 1.9303515459278136
8 -5.3368 0.3597 3.1713 0.0040000000000000036 0.20736332083833123
2 -0.988 -1.0798 -0.6644 0.0020000000000000018 0.0
5 -2.5519 -0.6996 2.5584 0.0 0.0
4 -1.4642 -1.0831 1.8411 0.0 0.0
7 -4.8047 0.2277 1.8592 -0.0010000000000000009 0.0
12 -3.007 -0.373 0.4785 -0.0010000000000000009 0.0
17 4.3138 0.4058 -0.3617 -0.0020000000000000018 0.0
21 6.8346 -0.1275 0.4341 -0.0030000000000000027 0.0
6 -3.5109 -0.2625 1.7372 -0.0040000000000000036 0.0
22 6.7567 -1.6644 0.2722 -0.0040000000000000036 0.0
23 8.2572 0.3697 0.3695 -0.0040000000000000036 0.0
24 6.1914 0.2452 1.8036 -0.006000000000000005 0.0
11 -3.743 -0.0075 -0.5855 -0.008000000000000007 0.0
9 -5.5096 0.5744 0.7787 -0.008000000000000007 0.0
3 -1.7272 -0.8836 0.5532 -0.01100000000000001 0.0
16 3.0645 0.6106 -1.4619 -0.026000000000000023 0.0
19 4.1859 -1.0199 0.2565 -0.052000000000000046 0.0
10 -5.0125 0.4742 -0.4554 -0.05400000000000005 0.0
18 4.0924 1.4056 0.8201 -0.05800000000000005 0.0
