atom_idx x y z attribution binding
12 5.1262 -2.9771 -1.207 0.18099999999999994 0.0
13 4.017 -2.2274 -1.2703 0.08441933621933617 1.7455411087890775
11 6.1554 -2.6461 -0.4092 0.08441933621933617 2.16961734758911
14 3.9489 -1.1175 -0.5083 0.06699999999999995 0.0
9 6.0904 -1.5418 0.3503 0.05799999999999994 0.0
6 3.3872 0.7072 0.5 0.030000000000000027 0.0
8 4.9717 -0.7271 0.3286 0.027000000000000024 0.0
5 2.9663 -0.2079 -0.3876 0.026000000000000023 0.0
4 1.6893 -0.1937 -1.0711 0.02100000000000002 0.0
7 4.6108 0.4035 0.9464 0.019000000000000017 0.43674714641458406
17 -0.2397 0.6699 -0.03 0.008000000000000007 0.0
10 7.1555 -1.1454 1.2146 0.0030000000000000027 0.0
16 -0.2174 -1.6212 -0.7319 0.0 0.2851925210688719
15 0.5633 -0.6016 -0.1694 0.0 0.0
0 -0.919 3.4877 -0.4744 0.0 0.8020569814504701
1 0.31 2.9679 -0.8529 0.0 0.0
3 1.4637 1.0495 -1.5705 0.0 0.3052276894626474
2 0.2089 1.4844 -1.2077 0.0 0.0
18 -1.6611 0.4541 -0.1108 -0.019000000000000017 0.0
20 -2.1397 1.4282 1.9091 -0.025000000000000022 2.2584261899656393
24 -6.0291 -0.4458 1.8257 -0.07600000000000007 0.0
19 -2.5824 0.8468 0.8782 -0.09199999999999997 0.0
21 -4.0493 0.6244 0.7955 -0.09799999999999998 0.0
23 -3.8932 -1.4256 1.9291 -0.10599999999999998 1.2230528389052906
22 -4.5502 -0.1866 1.9781 -0.10999999999999999 0.0
25 -4.347 -0.0503 -0.4536 -0.128 0.0
