atom_idx x y z attribution binding
13 2.0261 0.0314 -1.592 0.08050000000000002 1.9665484243664566
1 -2.4267 0.3867 -0.6816 0.0615 0.0
7 -0.2289 -0.5311 -0.0767 0.04949999999999999 0.0
6 -1.487 0.083 0.2782 0.04849999999999999 0.0
0 -2.1833 0.1074 -2.0182 0.04800000000000004 2.7138008995108245
8 0.7419 -0.8404 0.9508 0.04700000000000004 0.0
10 2.0105 -1.3664 0.3088 0.03600000000000003 0.0
14 2.8459 1.2051 -2.5427 0.03200000000000003 0.0
11 2.8834 -1.6644 1.3988 0.020000000000000018 0.6614698741867806
9 0.1991 -1.764 1.8435 0.01100000000000001 1.0620317764225824
4 -2.9852 0.9688 1.9208 0.0050000000000000044 0.0
15 2.3722 2.6209 -2.1266 0.0030000000000000027 1.2436342836631136
16 2.4899 0.9985 -4.0359 0.0030000000000000027 1.326145547389847
17 4.3835 1.1437 -2.3866 0.0030000000000000027 0.9483629960033044
3 -3.9296 1.275 0.9638 -0.0020000000000000018 0.0
5 -1.7763 0.3798 1.589 -0.0040000000000000036 0.0
2 -3.6297 0.9727 -0.3526 -0.006000000000000005 0.0
12 2.7384 -0.3478 -0.5032 -0.016000000000000014 0.0
