atom_idx x y z attribution binding
22 5.5933 -1.5999 -0.2364 0.11499999999999999 0.0
23 4.4659 -0.0383 1.0749 0.10699999999999998 0.0
24 3.203 0.6771 1.3502 0.07800000000000007 0.0
21 4.3449 -1.3378 0.4996 0.06600000000000006 3.4729384425888434
20 3.2771 -1.4739 -0.455 0.05600000000000005 0.0
19 2.5692 -0.1609 -0.7258 0.050000000000000044 0.0
6 -5.2221 -0.5014 0.4917 0.006000000000000005 0.0
14 -2.3644 0.4812 -0.2139 0.0020000000000000018 0.0
11 -0.1125 -4.1293 0.484 0.0 0.0
13 -2.5384 -0.9061 0.1446 0.0 0.0
1 -4.1468 3.7118 -0.6746 0.0 0.0
0 -5.4487 3.3866 -0.3845 0.0 0.0
10 -1.5218 -3.0955 0.4816 0.0 0.2596420553162886
9 -2.7498 -3.6166 0.8101 0.0 0.0
8 -3.8579 -2.8083 0.8091 0.0 0.0
7 -3.7323 -1.4772 0.4785 0.0 0.1339397382793902
5 -5.7193 2.0841 -0.0376 0.0 0.0
4 -4.744 1.1407 0.0204 0.0 0.046690929435336995
3 -3.4326 1.4221 -0.2616 0.0 0.0
2 -3.1546 2.7277 -0.6098 0.0 0.0
12 -1.4279 -1.7459 0.152 0.0 0.0
16 -0.1701 0.9799 0.7533 -0.0020000000000000018 0.0
15 -1.009 0.8758 -0.5041 -0.0040000000000000036 0.0
17 1.1964 1.347 0.4561 -0.016000000000000014 0.6564755313878045
18 2.0773 0.2889 0.5758 -0.03799999999999992 1.389885692657482
