atom_idx x y z attribution binding
13 -0.7518 -2.4417 1.8372 0.16799999999999998 0.006014982940385483
12 -0.6569 -1.8173 0.7264 0.10599999999999998 0.0
14 -1.915 -1.1524 0.2751 0.09500000000000003 0.0
19 -1.9494 0.28 0.7089 0.07100000000000001 0.2360741210782732
15 -3.0701 -1.8603 0.8194 0.07 1.342846677110423
26 0.804 -1.2062 -1.2727 0.05399999999999999 0.0
2 6.7184 0.7073 0.3786 0.025000000000000022 0.27233881146644634
4 5.6689 0.5075 1.2825 0.02200000000000002 0.0
28 2.4783 -2.8375 -0.8353 0.019000000000000017 0.0
1 6.5125 1.4835 -0.7459 0.008000000000000007 0.0
17 -3.8167 -2.5438 -1.2751 0.0 0.004579481920954482
23 -3.0154 3.3456 -1.2747 0.0 0.0
22 -3.9745 2.2588 -1.6964 0.0 0.0
21 -3.3918 0.9196 -1.2341 0.0 0.0
20 -3.2276 0.9179 0.2459 0.0 0.13943645070836677
18 -5.1721 -3.2789 0.4735 0.0 0.0
24 -2.8517 3.4138 0.2207 0.0 0.0
16 -3.9656 -2.5292 -0.0379 0.0 0.0
25 -3.4965 2.2481 0.9095 0.0 0.0
27 1.9673 -1.9074 -1.8936 -0.0040000000000000036 0.0
9 3.798 -1.8396 1.6467 -0.0040000000000000036 0.06841249296462855
3 8.2985 -0.0014 0.6212 -0.009000000000000008 0.0
8 2.6893 -1.4217 1.1823 -0.02400000000000002 0.0
5 4.4223 1.0526 1.1082 -0.030999999999999972 0.5848260850187323
7 2.3914 -0.0597 1.3916 -0.034999999999999976 1.0745302446849987
0 5.2649 2.0344 -0.9301 -0.04799999999999999 0.0
10 1.7873 -2.3811 0.4535 -0.053166666666666695 0.0
29 4.2554 1.8209 -0.0244 -0.059 0.0
11 0.5613 -1.7897 0.0235 -0.064 1.2587239907706147
6 3.3291 0.7929 2.0931 -0.08000000000000002 0.0
